word,count
reicht,2750
zerstört,2747
kirchen,2740
bereitet,2738
vergleich,2737
gedächtnis,2735
bekanntschaft,2734
wurzeln,2733
zweites,2733
einwohner,2730
rückwärts,2725
keines,2722
wesentlichen,2719
vereinigt,2717
brannte,2715
vergnügt,2714
erkennt,2713
bleich,2712
bewunderung,2711
überaus,2710
jahrhunderte,2708
beschäftigung,2706
vorsicht,2704
eigenschaft,2703
graben,2701
vereinigten,2699
befestigt,2694
hilft,2694
ausgang,2689
erwähnten,2686
erschöpft,2680
vernahm,2680
großvater,2679
dezember,2677
bezeichnung,2674
verfolgen,2673
begleiten,2671
auflösung,2669
gekleidet,2668
beobachtungen,2666
geschwindigkeit,2665
unbekannt,2657
gewöhnliche,2656
nachbarn,2655
unbekannten,2655
entspricht,2651
hierbei,2651
bloßen,2650
verein,2649
gewissermaßen,2646
erfüllung,2631
dürfe,2629
hübsche,2627
überdies,2625
gesinnung,2622
lüge,2620
erwartung,2618
dämmerung,2617
gekannt,2612
sohnes,2611
liefern,2605
wohnt,2605
wurzel,2603
heisst,2601
trennung,2601
gegebenen,2598
erschrak,2596
winkte,2596
auftritt,2592
entstehung,2588
überlegen,2584
spaß,2575
südlichen,2575
angelegt,2573
gewähren,2572
gewaltige,2567
vierten,2565
beträgt,2563
älteste,2560
wichtigkeit,2559
besitzer,2558
süßen,2558
eingeführt,2554
wissenschaftlichen,2554
unterstützung,2553
kreisen,2552
beschränkt,2551
sagst,2551
jahr,2550
entsprechend,2548
verwaltung,2547
wänden,2547
eingerichtet,2543
schweden,2539
glückliche,2538
gerufen,2537
gestehen,2536
genügt,2535
angesicht,2531
verwirrung,2531
besucht,2530
herstellung,2530
vereinigung,2528
wählen,2523
preußischen,2519
gewachsen,2513
zeug,2512
jährlich,2511
verfassung,2511
zweier,2511
schlosse,2508
verkaufen,2506
überzeugen,2505
platze,2504
verschlossen,2502
umfang,2500
ausgezeichnet,2499
berufen,2499
angaben,2494
reiten,2489
berühmte,2488
erfolgt,2486
erfreut,2486
wüßte,2486
ausdehnung,2482
spiele,2480
gewährt,2476
schauspiel,2476
pläne,2473
träger,2471
persönlichen,2470
zustände,2467
gearbeitet,2466
befreit,2465
gebrauchen,2460
erfindung,2458
schlich,2458
buchstaben,2451
erfolge,2449
einigermaßen,2448
erwiesen,2446
legten,2446
aufgehoben,2444
vorgänge,2442
wirkte,2440
wirkungen,2435
betragen,2433
auffallend,2432
höhle,2432
befriedigung,2431
kutscher,2428
amerikanischen,2427
zurückgekehrt,2427
packte,2426
provinzen,2426
dichtung,2424
schweiz,2422
einzelheiten,2419
ausbildung,2418
erwiederte,2418
trafen,2413
beobachtete,2412
begleiter,2408
drückt,2398
lächerlich,2396
vorwurf,2395
beweise,2394
russische,2392
erreichten,2389
folgendes,2388
blüte,2383
glaubst,2382
einzeln,2372
öffentliche,2370
übertragen,2369
